attack1, attack2, accuracy
multihop, back,0.474961653
teardrop, guess_passwd,0.474835681
guess_passwd, teardrop,0.474694836
back, smurf,0.474510897
guess_passwd, imap,0.474449815
smurf, back,0.473395604
perl, ipsweep,0.473303571
phf, guess_passwd,0.473205068
buffer_overflow, ipsweep,0.473058708
loadmodule, guess_passwd,0.472876584
spy, smurf,0.472849438
smurf, warezclient,0.472620898
ftp_write, ipsweep,0.472610384
warezclient, back,0.472502705
guess_passwd, pod,0.472004137
guess_passwd, spy,0.471987613
loadmodule, ipsweep,0.471428571
ipsweep, perl,0.47125
perl, back,0.471147777
phf, back,0.471012533
land, ipsweep,0.470819379
smurf, spy,0.470746869
guess_passwd, rootkit,0.470726325
ipsweep, phf,0.470446429
pod, nmap,0.470417763
imap, back,0.470405265
ipsweep, warezmaster,0.470314102
pod, back,0.469990516
ftp_write, warezmaster,0.469531395
teardrop, warezmaster,0.469310233
imap, warezmaster,0.46902491
warezmaster, imap,0.468932309
warezmaster, pod,0.468874664
back, phf,0.468848616
back, rootkit,0.468585089
land, warezmaster,0.468506854
imap, ipsweep,0.46850587
ftp_write, guess_passwd,0.467595852
smurf, warezmaster,0.467564727
back, ftp_write,0.467201659
loadmodule, warezmaster,0.466453674
warezmaster, buffer_overflow,0.46637935
loadmodule, back,0.46614372
warezclient, guess_passwd,0.4653247
imap, guess_passwd,0.465252686
pod, warezmaster,0.465117358
back, warezclient,0.465109989
warezmaster, smurf,0.464841884
warezclient, ftp_write,0.464818101
warezmaster, phf,0.464740473
warezmaster, spy,0.464558544
ipsweep, buffer_overflow,0.464525065
land, smurf,0.464450642
guess_passwd, multihop,0.464403118
smurf, land,0.464084861
warezmaster, teardrop,0.464075601
ftp_write, back,0.463820387
smurf, phf,0.46356738
smurf, imap,0.46340906
pod, ipsweep,0.463396091
back, spy,0.462856113
rootkit, guess_passwd,0.462556928
back, imap,0.462336023
teardrop, smurf,0.462087259
warezmaster, rootkit,0.461919763
smurf, ftp_write,0.46176
guess_passwd, buffer_overflow,0.461722713
spy, ipsweep,0.461387376
ipsweep, spy,0.461342737
land, guess_passwd,0.46120629
rootkit, warezclient,0.461162894
rootkit, teardrop,0.46105338
phf, smurf,0.460687511
back, multihop,0.460615357
rootkit, back,0.460511479
back, pod,0.460506706
back, buffer_overflow,0.46043133
buffer_overflow, warezmaster,0.460262292
spy, back,0.459385142
spy, land,0.459220802
smurf, buffer_overflow,0.459145393
pod, imap,0.459001822
ftp_write, smurf,0.458742857
ipsweep, pod,0.458655695
loadmodule, smurf,0.458630463
warezclient, loadmodule,0.458586576
warezmaster, multihop,0.458227144
rootkit, ipsweep,0.4579481
multihop, smurf,0.457913998
back, perl,0.457758543
smurf, teardrop,0.457651148
ipsweep, loadmodule,0.457321429
loadmodule, warezclient,0.457300031
rootkit, smurf,0.457123256
loadmodule, nmap,0.456471426
rootkit, warezmaster,0.456360604
guess_passwd, loadmodule,0.456076959
rootkit, pod,0.456045178
warezmaster, warezclient,0.455576647
nmap, back,0.455203292
pod, multihop,0.454945739
multihop, imap,0.454537382
phf, warezmaster,0.45432236
buffer_overflow, back,0.454205017
spy, warezmaster,0.4540025
perl, warezmaster,0.45399824
teardrop, spy,0.453863566
warezmaster, ftp_write,0.453556214
ftp_write, rootkit,0.453278288
multihop, land,0.453193001
back, loadmodule,0.45316022
ipsweep, multihop,0.453002144
warezmaster, perl,0.452886975
ipsweep, rootkit,0.452856313
teardrop, back,0.45210175
warezclient, phf,0.452020762
ftp_write, teardrop,0.451660156
smurf, rootkit,0.451543563
perl, warezclient,0.451355308
teardrop, warezclient,0.451111802
pod, rootkit,0.451064965
teardrop, phf,0.451063074
multihop, warezmaster,0.450905889
rootkit, phf,0.450639205
multihop, teardrop,0.450539688
phf, imap,0.450532387
phf, perl,0.450374906
multihop, pod,0.450097847
land, phf,0.450075442
land, buffer_overflow,0.449946705
warezmaster, land,0.449935161
warezclient, warezmaster,0.449743044
pod, phf,0.449644444
teardrop, pod,0.449622054
phf, buffer_overflow,0.449580392
warezmaster, loadmodule,0.449553179
buffer_overflow, pod,0.449426208
land, teardrop,0.449076541
smurf, pod,0.449054357
pod, perl,0.4488
perl, land,0.448788497
smurf, perl,0.448756628
imap, smurf,0.448644695
land, pod,0.448588575
imap, multihop,0.448588173
ipsweep, land,0.448314356
warezclient, land,0.448216187
teardrop, rootkit,0.448130385
teardrop, land,0.448099805
pod, land,0.44792176
pod, warezclient,0.447737979
teardrop, loadmodule,0.447645257
pod, smurf,0.447634748
pod, teardrop,0.447576701
spy, perl,0.447451311
smurf, loadmodule,0.447385262
pod, spy,0.447338014
phf, spy,0.447140766
pod, buffer_overflow,0.447068766
perl, smurf,0.446836716
smurf, multihop,0.446569076
warezclient, multihop,0.446126526
imap, ftp_write,0.446026887
perl, multihop,0.445899747
perl, pod,0.445777778
phf, warezclient,0.445765494
buffer_overflow, rootkit,0.445624167
teardrop, perl,0.445559057
buffer_overflow, phf,0.445539718
ftp_write, multihop,0.445386733
buffer_overflow, ftp_write,0.445337478
buffer_overflow, land,0.445016877
buffer_overflow, smurf,0.444962943
rootkit, imap,0.444937636
pod, ftp_write,0.44481977
warezclient, rootkit,0.444740346
spy, ftp_write,0.444321207
warezclient, smurf,0.444281927
phf, teardrop,0.444138666
land, rootkit,0.444123785
warezclient, imap,0.443838169
multihop, ftp_write,0.443788296
warezclient, pod,0.443649453
back, nmap,0.443353987
warezclient, teardrop,0.443167192
ftp_write, spy,0.443078971
phf, rootkit,0.443048651
perl, buffer_overflow,0.442919941
multihop, warezclient,0.442708102
imap, buffer_overflow,0.442500666
teardrop, ftp_write,0.442294034
warezclient, spy,0.442132813
buffer_overflow, imap,0.442012255
land, warezclient,0.441737664
imap, loadmodule,0.441570541
perl, teardrop,0.441164721
spy, imap,0.441087747
imap, pod,0.440380428
teardrop, imap,0.440079893
imap, rootkit,0.439921878
buffer_overflow, perl,0.439900537
ftp_write, phf,0.439701837
imap, perl,0.439485359
land, perl,0.439336114
spy, teardrop,0.439305845
imap, teardrop,0.439192188
loadmodule, teardrop,0.439078521
land, spy,0.438942137
multihop, phf,0.438707099
imap, land,0.438650987
warezclient, buffer_overflow,0.438573902
ftp_write, pod,0.438508378
rootkit, ftp_write,0.438362853
rootkit, spy,0.438260098
perl, rootkit,0.437943892
rootkit, loadmodule,0.437677557
ftp_write, warezclient,0.43757764
ftp_write, buffer_overflow,0.437566607
perl, phf,0.437153379
ftp_write, imap,0.437020276
perl, imap,0.436823425
spy, pod,0.436805617
phf, land,0.436629094
spy, warezclient,0.436321696
buffer_overflow, loadmodule,0.43594867
rootkit, land,0.435909959
perl, spy,0.43587241
imap, phf,0.435536823
buffer_overflow, teardrop,0.43547599
buffer_overflow, warezclient,0.435465968
land, multihop,0.435340616
imap, warezclient,0.43518765
warezclient, perl,0.435162593
rootkit, perl,0.435102983
perl, ftp_write,0.43490993
imap, spy,0.434877118
loadmodule, imap,0.43487134
pod, loadmodule,0.434755556
land, imap,0.434479698
multihop, buffer_overflow,0.434392357
multihop, perl,0.434311593
multihop, rootkit,0.434301706
phf, multihop,0.434222794
spy, phf,0.434009139
phf, pod,0.434
ftp_write, land,0.433808192
spy, rootkit,0.433688415
rootkit, multihop,0.433679815
multihop, spy,0.433562708
land, ftp_write,0.433497537
multihop, loadmodule,0.433379212
ftp_write, loadmodule,0.432957671
loadmodule, buffer_overflow,0.43284046
loadmodule, ftp_write,0.432780193
buffer_overflow, multihop,0.432748278
phf, ftp_write,0.432558346
spy, loadmodule,0.432367686
loadmodule, spy,0.432278958
rootkit, buffer_overflow,0.432252332
ftp_write, perl,0.432025912
loadmodule, rootkit,0.431951349
buffer_overflow, spy,0.431914043
loadmodule, multihop,0.431736447
spy, multihop,0.431387347
spy, buffer_overflow,0.431381255
land, loadmodule,0.431126298
teardrop, buffer_overflow,0.431122562
loadmodule, perl,0.431119393
perl, loadmodule,0.431030658
loadmodule, pod,0.431022222
loadmodule, land,0.430993166
loadmodule, phf,0.430897555
phf, loadmodule,0.430764453
teardrop, multihop,0.430684493
